metric,method_1,method_2,t_stat,t_p,w_stat,w_p,cohen_d_paired,mean_diff,ci_lower,ci_upper,t_p_corrected_holm,t_reject_holm,w_p_corrected_holm,w_reject_holm
energy_j,CPython,Ctypes,1.8501491278675943,0.08550897242821041,9.0,0.00201416015625,0.47770645068209133,49.004205364,7.348647340877779,106.09858868085549,0.8239374389876698,False,0.0201416015625,True
energy_j,CPython,Cython,1.6076020210892494,0.1302340491721997,3.0,0.002976637011170516,0.41508105700053644,40.25661023599999,4.002554738266664,94.95774285673335,0.8322114123384681,False,0.02381309608936413,True
energy_j,CPython,PyCompile,0.5086940514960699,0.6188885369015753,48.0,0.52447509765625,0.13134423931727046,1.3375605373333352,-2.644481118699995,6.920685096433335,1.0,False,1.0,False
energy_j,CPython,PyPy,1.7386604812492126,0.10402642654230851,10.0,0.00262451171875,0.44892020590581155,40.177985497333324,5.802325829766666,90.88940028506667,0.8322114123384681,False,0.02362060546875,True
energy_j,Ctypes,Cython,-1.5107977093381142,0.1530784679784195,35.0,0.1688232421875,-0.3900862911836553,-8.747595128000002,-20.595463330366663,1.1728637186666624,0.8322114123384681,False,0.5064697265625,False
energy_j,Ctypes,PyCompile,-1.8709928732428112,0.08239374389876698,11.0,0.00335693359375,-0.48308828259614484,-47.66664482666667,-102.59286502336666,-8.349807579211115,0.8239374389876698,False,0.02381309608936413,True
energy_j,Ctypes,PyPy,-1.6159794807527732,0.1284022692296242,23.0,0.03533935546875,-0.41724410778456,-8.826219866666666,-20.495226591788885,0.17362220661110545,0.8322114123384681,False,0.141357421875,False
energy_j,Cython,PyCompile,-1.5896742954444623,0.1342297208557025,20.0,0.02154541015625,-0.41045213814336073,-38.91904969866667,-91.35348114073332,-4.270470808966667,0.8322114123384681,False,0.10772705078125,False
energy_j,Cython,PyPy,-0.022415292928306838,0.9824330319144124,54.0,0.76153564453125,-0.0057876037474462174,-0.07862473866666561,-6.254364302466667,6.7596632262666665,1.0,False,1.0,False
energy_j,PyCompile,PyPy,1.724220945228889,0.1066673115698342,11.0,0.00335693359375,0.4451919337368998,38.84042495999999,6.5130741213666665,87.43249159609998,0.8322114123384681,False,0.02381309608936413,True
time_s,CPython,Ctypes,1.6706000801261969,0.11699606701194484,18.0,0.01507568359375,0.43134708590010246,8.786287310918173,0.8136498080015184,20.06457635068098,0.9074907566832532,False,0.10552978515625,False
time_s,CPython,Cython,1.343704626641336,0.20041799868476662,21.0,0.04798974969495945,0.3469430427469167,6.917044155120849,-0.594393606797854,17.87733591764767,0.9074907566832532,False,0.23994874847479725,False
time_s,CPython,PyCompile,-0.9253317156378854,0.3704695024603548,50.0,0.5994873046875,-0.23891962162553781,-1.0033009087244678,-3.3255254645903904,0.4933612966299049,0.9074907566832532,False,1.0,False
time_s,CPython,PyPy,1.5196381295793366,0.15086005882215106,20.0,0.02154541015625,0.3923688778748372,7.1032485815683994,0.3942065859794614,17.238087121287965,0.9074907566832532,False,0.1292724609375,False
time_s,Ctypes,Cython,-1.6885951165822815,0.11343634458540665,36.0,0.1876220703125,-0.4359933843340231,-1.8692431557973228,-4.162391924293836,0.04190722626844982,0.9074907566832532,False,0.605712890625,False
time_s,Ctypes,PyCompile,-1.9131460683211845,0.07640381490996671,6.0,0.0008544921875,-0.49397219076467636,-9.789588219642642,-20.88449092977047,-1.7932946852922442,0.7640381490996672,False,0.008544921875,True
time_s,Ctypes,PyPy,-1.3756404913452935,0.1905439970948052,34.0,0.15142822265625,-0.35518884755659397,-1.6830387293497722,-4.3152928765138,0.18200890618165297,0.9074907566832532,False,0.605712890625,False
time_s,Cython,PyCompile,-1.6063745253137471,0.13050432925805006,13.0,0.00537109375,-0.4147641189541325,-7.920345063845317,-18.551667581550277,-0.8437687410036762,0.9074907566832532,False,0.04296875,True
time_s,Cython,PyPy,0.2667050309423196,0.7935844764643155,54.0,0.76153564453125,0.06886294287928917,0.1862044264475503,-1.0662430607398348,1.5579157299200683,0.9074907566832532,False,1.0,False
time_s,PyCompile,PyPy,1.7732233371366877,0.09793798494971112,10.0,0.00262451171875,0.4578442969224488,8.106549490292867,1.4299208171765014,17.977899413919438,0.8814418645474,False,0.02362060546875,True
carbon_g,CPython,Ctypes,1.850145612701839,0.08550950658277272,8.0,0.005213241256099401,0.47770554307019597,0.023276999999999996,0.003490656666666668,0.05039695666666664,0.8239276267661694,False,0.03127944753659641,True
carbon_g,CPython,Cython,1.6076028853728805,0.13023385903700996,2.0,0.0037017494066892425,0.4150812801576105,0.019121999999999997,0.0019012066666666669,0.045105241666666664,0.832182847964356,False,0.03021240234375,True
carbon_g,CPython,PyCompile,0.5086387379157865,0.6189263266871374,48.0,0.52447509765625,0.13132995741225334,0.0006352666666666653,-0.0012560533333333354,0.0032872149999999983,1.0,False,1.0,False
carbon_g,CPython,PyPy,1.7386802213325507,0.1040228559955445,10.0,0.00262451171875,0.4489253027734129,0.019084800000000002,0.0027562433333333334,0.04317269,0.832182847964356,False,0.0262451171875,True
carbon_g,Ctypes,Cython,-1.5107703798984076,0.15308536847774207,35.0,0.1688232421875,-0.39007923475266565,-0.004155,-0.009782605,0.0005572266666666661,0.832182847964356,False,0.5064697265625,False
carbon_g,Ctypes,PyCompile,-1.870999549264658,0.08239276267661694,11.0,0.00335693359375,-0.48309000633757365,-0.022641733333333334,-0.04873188999999999,-0.003966066666666669,0.8239276267661694,False,0.03021240234375,True
carbon_g,Ctypes,PyPy,-1.6158679173866595,0.1284265165548503,23.0,0.03533935546875,-0.4172153022472929,-0.004192200000000001,-0.009735206666666664,8.272666666666453e-05,0.832182847964356,False,0.141357421875,False
carbon_g,Cython,PyCompile,-1.5896858931626705,0.13422710235523622,16.0,0.021943664659377984,-0.4104551326613257,-0.018486733333333335,-0.043393238333333334,-0.002028603333333334,0.832182847964356,False,0.10971832329688992,False
carbon_g,Cython,PyPy,-0.022327165163854537,0.982502085729015,54.0,0.7332196494460775,-0.005764849256508734,-3.7200000000000545e-05,-0.002970873333333334,0.003210864999999998,1.0,False,1.0,False
carbon_g,PyCompile,PyPy,1.7242531290685161,0.1066613604160801,11.0,0.00335693359375,0.4452002435685593,0.018449533333333334,0.0030940566666666663,0.04153069333333332,0.832182847964356,False,0.03021240234375,True
